UI_ID,AgeCat,Breeder,Disperser,Coat
UI0815,A,FALSE,FALSE,Unknown
UI0816,A,FALSE,FALSE,Unknown
UI0817,Y,FALSE,FALSE,Unknown
UI0818,A,FALSE,FALSE,Unknown
UI0819,A,FALSE,FALSE,Unknown
UI0822,A,FALSE,FALSE,Unknown
UI0823,A,FALSE,FALSE,Unknown
UI0826,A,FALSE,FALSE,Unknown
UI0827,Y,FALSE,FALSE,Unknown
UI0830,Y,FALSE,FALSE,Unknown
UI0831,A,FALSE,FALSE,Unknown
UI0835,A,FALSE,FALSE,Unknown
UI0836,Y,FALSE,FALSE,Unknown
UI0840,A,FALSE,FALSE,Unknown
UI0842,A,FALSE,FALSE,Unknown
UI0844,Y,FALSE,FALSE,Unknown
UI0848,A,FALSE,FALSE,Unknown
UI0852,Y,FALSE,FALSE,Unknown
UI0853,Y,FALSE,FALSE,Unknown
UI0854,A,FALSE,FALSE,Unknown
UI0855,A,FALSE,FALSE,Unknown
UI0858,A,FALSE,FALSE,Unknown
UI0859,A,FALSE,FALSE,Unknown
UI0860,Y,FALSE,FALSE,Unknown
UI0866,A,FALSE,FALSE,Unknown
UI0867,Y,FALSE,FALSE,Unknown
UI0870,Y/A,FALSE,FALSE,Unknown
UI0874,A,FALSE,FALSE,Unknown
UI0875,A,FALSE,FALSE,Unknown
UI0877,Y/A,FALSE,FALSE,Unknown
UI0878,Y,FALSE,FALSE,Unknown
UI0881,A,FALSE,FALSE,Unknown
UI0883,A,FALSE,FALSE,Unknown
UI0884,A,FALSE,FALSE,Unknown
UI0886,A,FALSE,FALSE,Unknown
UI0891,Y,FALSE,FALSE,Unknown
UI0892,A,FALSE,FALSE,Unknown
UI0894,Y,FALSE,FALSE,Unknown
UI0896,Y,FALSE,FALSE,Unknown
UI0898,A,FALSE,FALSE,Unknown
UI0899,Y,FALSE,FALSE,Unknown
UI0900,A,FALSE,FALSE,Unknown
UI0905,A,FALSE,FALSE,Unknown
UI0908,Y,FALSE,FALSE,Unknown
UI0909,Y/A,FALSE,FALSE,Unknown
UI0912,A,FALSE,FALSE,Unknown
UI0913,A,FALSE,FALSE,Unknown
UI0914,A,FALSE,FALSE,Unknown
UI0915,A,FALSE,FALSE,Unknown
UI0916,A,FALSE,FALSE,Unknown
UI0918,A,FALSE,FALSE,Unknown
UI0920,A,FALSE,FALSE,Unknown
UI0922,Y/A,FALSE,FALSE,Unknown
UI0927,Y,FALSE,FALSE,Unknown
UI0928,Y,FALSE,FALSE,Unknown
UI0929,Y,FALSE,FALSE,Unknown
UI0930,A,FALSE,FALSE,Unknown
UI0932,A,FALSE,FALSE,Unknown
UI0934,A,FALSE,FALSE,Unknown
UI0937,A,FALSE,FALSE,Unknown
UI0941,A,FALSE,FALSE,Unknown
UI0942,Y/A,FALSE,FALSE,Unknown
UI0949,A,FALSE,FALSE,Unknown
UI0957,A,TRUE,FALSE,Gray
UI0958,A,FALSE,FALSE,Unknown
UI0959,A,FALSE,FALSE,Unknown
UI0963,Y,FALSE,FALSE,Gray
UI0968,A,TRUE,FALSE,Gray
UI0969,A,FALSE,FALSE,Gray
UI0973,Y,FALSE,FALSE,Gray
UI0974,A,FALSE,TRUE,Gray
UI0977,A,FALSE,TRUE,Unknown
UI0984,A,FALSE,FALSE,Unknown
UI0987,A,FALSE,TRUE,Unknown
UI0988,Y,FALSE,FALSE,Gray
UI0989,A,FALSE,FALSE,Unknown
UI0994,A,FALSE,TRUE,Unknown
UI0995,A,FALSE,TRUE,Unknown
UI0997,A,FALSE,FALSE,Unknown
UI0999,Y,FALSE,FALSE,Unknown
UI1005,A,FALSE,FALSE,Unknown
UI1008,Y,FALSE,FALSE,Unknown
UI1011,A,TRUE,FALSE,Unknown
UI1012,Y,FALSE,TRUE,Gray
UI1013,Y,FALSE,FALSE,Gray
UI1099,Y,FALSE,FALSE,Unknown
UI1102,A,FALSE,FALSE,Unknown
UI1109,A,FALSE,TRUE,Gray
UI1110,Y/A,FALSE,TRUE,Unknown
UI1113,A,FALSE,TRUE,Gray
UI1115,A,FALSE,FALSE,Unknown
UI1116,Y/A,FALSE,FALSE,Unknown
UI1119,A,FALSE,TRUE,Unknown
UI1126,A,FALSE,FALSE,Unknown
UI1128,A,FALSE,FALSE,Unknown
UI1133,A,TRUE,FALSE,Black
UI1152,A,TRUE,FALSE,Gray
UI1164,A,FALSE,FALSE,Gray
UI1166,A,FALSE,FALSE,Unknown
UI1169,Y,FALSE,FALSE,Unknown
UI1173,A,FALSE,FALSE,Unknown
UI1186,A,FALSE,TRUE,Gray
UI1187,Y,FALSE,FALSE,Gray
UI1195,A,TRUE,FALSE,Unknown
UI1196,A,FALSE,TRUE,Gray
UI1197,A,FALSE,FALSE,Gray
UI1203,A,FALSE,FALSE,Unknown
UI1214,A,FALSE,FALSE,Unknown
UI1217,A,FALSE,FALSE,Unknown
UI1219,Y,FALSE,FALSE,Unknown
UI1220,A,FALSE,FALSE,Unknown
UI1222,A,FALSE,FALSE,Unknown
UI1224,Y,FALSE,FALSE,Unknown
UI1226,A,FALSE,TRUE,Gray
UI1228,Y,FALSE,FALSE,Unknown
UI1229,A,FALSE,FALSE,Unknown
UI1234,A,FALSE,FALSE,Unknown
UI1241,A,FALSE,FALSE,Unknown
UI1244,A,FALSE,TRUE,Gray
UI1251,A,TRUE,FALSE,Gray
UI1255,Y,FALSE,FALSE,Gray
UI1256,Y,FALSE,FALSE,Unknown
UI1259,Y,FALSE,FALSE,Gray
UI1260,A,FALSE,FALSE,Unknown
UI1266,Y,FALSE,FALSE,Unknown
UI1267,A,FALSE,FALSE,Gray
UI1268,A,TRUE,FALSE,Unknown
UI1274,A,FALSE,FALSE,Unknown
UI1283,Y,FALSE,FALSE,Unknown
UI1300,A,TRUE,FALSE,Gray
UI1302,Y,FALSE,FALSE,Gray
UI1305,A,FALSE,TRUE,Unknown
UI1306,Y,FALSE,FALSE,Unknown
UI1311,A,FALSE,FALSE,Unknown
UI1316,A,TRUE,FALSE,Gray
UI1323,A,FALSE,TRUE,Gray
UI1326,Y/A,FALSE,FALSE,Gray
UI1328,Y,FALSE,FALSE,Unknown
UI1329,Y,FALSE,FALSE,Unknown
UI1339,Y,FALSE,FALSE,Unknown
UI1350,Y,FALSE,TRUE,Unknown
UI1357,Y,FALSE,FALSE,Unknown
UI1362,Y,FALSE,TRUE,Gray
UI1365,A,TRUE,FALSE,White
UI1368,A,FALSE,FALSE,Gray
UI1382,A,TRUE,FALSE,Gray
UI1383,Y,FALSE,TRUE,Unknown
UI1396,A,FALSE,FALSE,Unknown
UI1398,Y,FALSE,FALSE,Gray
UI1400,Y,FALSE,TRUE,Gray
UI1402,A,FALSE,FALSE,Gray
UI1403,A,FALSE,FALSE,Gray
UI1404,A,FALSE,TRUE,Gray
UI1405,A,TRUE,FALSE,Unknown
UI1408,Y,FALSE,FALSE,Unknown
UI1409,A,FALSE,FALSE,Unknown
UI1410,A,FALSE,FALSE,Unknown
UI1411,A,FALSE,FALSE,Unknown
UI1414,A,TRUE,FALSE,Gray
UI1416,A,FALSE,FALSE,Unknown
UI1419,Y,FALSE,FALSE,Unknown
UI1421,A,FALSE,FALSE,Unknown
UI1426,Y,FALSE,FALSE,Unknown
UI1427,A,TRUE,FALSE,Unknown
UI1429,A,FALSE,FALSE,Gray
UI1437,A,FALSE,FALSE,Unknown
UI1440,A,FALSE,FALSE,Unknown
UI1442,A,FALSE,FALSE,Gray
UI1444,A,FALSE,FALSE,Unknown
UI1449,Y,FALSE,FALSE,Unknown
UI1458,Y,FALSE,FALSE,Gray
UI1459,A,FALSE,FALSE,Gray
UI1464,A,FALSE,FALSE,Gray
UI1465,A,FALSE,FALSE,Unknown
